Tweet ID,Country,Date,Tweet,Definitely English,Ambiguous,Definitely Not English,Code-Switched,Ambiguous due to Named Entities,Automatically Generated Tweets
285948076496142336,NL,2013-01-01,Bed,1,0,0,0,0,0
285965965118824448,US,2013-01-01,I felt my first flash of violence at some fool who bumped into me.... I pity the fool.,1,0,0,0,0,0
286057979831275520,US,2013-01-01,Ladies drink and get in free till 10:30,1,0,0,0,0,0
286216100784521216,GB,2013-01-01,Watching #Miranda On bbc1!!! @mermhart u r HILARIOUS ❤💋,1,0,0,0,0,0
286282349925257216,US,2013-01-02,Shopping! (@ Kohl's) http://t.co/I8ZkQHT9,1,0,0,0,0,0
286490978771144704,US,2013-01-02,Yessss ^_^,1,0,0,0,0,0
286525170670243840,US,2013-01-02,@Dennycrowe all over twitter because you and your friends cant stick up for yourselves.,1,0,0,0,0,0
286916662836490241,US,2013-01-03,"~ i'm falling apart,with a broken heart,barely breathing.",1,0,0,0,0,0
286927073078018048,US,2013-01-03,"@CP_UDASHIT oh my god, we go way back #lovethis #rahrahrah",1,0,0,0,0,0
286927433498759168,US,2013-01-03,"The way you treat me. The way you accept me, and love me. How much you care about me. That's what makes you perfect.",1,0,0,0,0,0
286941320851890177,US,2013-01-03,I just wanna get pulled on the sled by the four wheeler again!!!!!! #goodshit,1,0,0,0,0,0
286949739071672321,IE,2013-01-03,"Oh there's that fake door slam noise , ugh #CBB",1,0,0,0,0,0
286958983368036352,US,2013-01-03,@Taybaybay_19 cool... Wanna see when u get it!,1,0,0,0,0,0
287013601330479105,US,2013-01-04,@del_webb13 hahaa I never get told to be a post... 😕 But I'll most likely guard yaaaa!,1,0,0,0,0,0
287056970421268480,US,2013-01-04,@Opucar91 @tim_allen111 I'm in Tennessee.. Only bears and mountain lions round these parts,1,0,0,0,0,0
287083436844412928,US,2013-01-04,Can't do right without doing wrong first,1,0,0,0,0,0
287272742481432577,US,2013-01-04,@FlaccidDaddy and goodluck on that young occupation,1,0,0,0,0,0
287304673470337025,GB,2013-01-04,@kiapegg ahh okay how old ate you I am 13,1,0,0,0,0,0
287551697151205376,CA,2013-01-05,"Rain bitches but get my dick on with  at least 3 chicks at York, these hoes are easy game don't change baby haha",1,0,0,0,0,0
287581900179128320,US,2013-01-05,"#SexSurvey 74: If you were a stripper, what would your name be? (Trixie or Tricktina as a girl - as a boy my name)",1,0,0,0,0,0
287610375464165377,US,2013-01-05,"RT“@iLeexi: I feel shittttttty, I can't even get off my bed. No srsly I feel rlly sick and shitty”",1,0,0,0,0,0
287751454964465664,US,2013-01-06,I'm Just Gone Continue Doing What I Want To.,1,0,0,0,0,0
287774901190918144,US,2013-01-06,"\@adampoulos1: @TyreceSpeaight_ even me!!!\"" Are you at the party""",1,0,0,0,0,0
288022335670341632,US,2013-01-06,YESSSSSSSSSS http://t.co/1qERLagy,1,0,0,0,0,0
288024504205185024,HU,2013-01-06,I'm at Vegyes Élelmiszer (Budapest) http://t.co/Jjhatjt0,1,0,0,0,0,1
288057328702476288,US,2013-01-06,Drinking a Mama's Little Yella Pils by @oskarblues @ Thunderdome — http://t.co/VEw7n9xn,1,0,0,0,0,0
288087662072582144,US,2013-01-07,8:00 PM @ Harrah's Las Vegas $80 NL Hold'em Poker Tournament w/ $20 Bounties @HarrahsVegas http://t.co/f1mxW5ZT,1,0,0,0,0,0
288101830326632448,US,2013-01-07,@flakachichona : You Can HAVE Them Lololololololol (x,1,0,0,0,0,0
288105060020400129,US,2013-01-07,@FEuskadi Haha no way!!!!,1,0,0,0,0,0
288412229760598016,US,2013-01-07,And my grades are top notch 🎀,1,0,0,0,0,0
288415723867488257,CA,2013-01-07,@KishwerM priceless!! god bless!!!,1,0,0,0,0,0
288472988402196481,US,2013-01-08,Yeah fuck saqouit fans i aint scared,1,0,0,0,0,0
288799301323329538,US,2013-01-09,@geegrapes It's all about being real and true to yourself. The opposite of real is fake.,1,0,0,0,0,0
289128558104817665,MY,2013-01-09,Whistle baby,1,0,0,0,0,0
289137651527872512,US,2013-01-09,1999 Joos DLP-115 Through-Feed Hot Veneer Press Please feel free to make an offer! All offers will be considered... http://t.co/fMFp7hDB,1,0,0,0,0,0
289372180314198016,MY,2013-01-10,"Seriously, I feel Betrayed",1,0,0,0,0,0
289401913571688448,GB,2013-01-10,@Colemaan @christinafisher yes and yes ;),1,0,0,0,0,0
289430250310488064,US,2013-01-10,@BigJoe2323 I plugged it in the computer so no,1,0,0,0,0,0
289434503309557760,US,2013-01-10,Straight ignore.,1,0,0,0,0,0
289545287545020416,US,2013-01-11,"\@FucKUPayyMee: Lawwdd it feel like somebody just punchin me in my cat. Lmaoo.\"" see nasty asz""",1,0,0,0,0,0
289555114644082689,US,2013-01-11,@SammiMazzella don't text @katelindallegro it will save u from a headache #jkjkjk #loveyakate,1,0,0,0,0,0
289612153143586819,US,2013-01-11,@Ambitious_R_Us you good wyd?,1,0,0,0,0,0
289790306382147584,US,2013-01-11,@Orange_Fanatic4 rd cuzz,1,0,0,0,0,0
289811231638966272,RS,2013-01-11,@biebsjan0skians o.O Mockingjay. Sjaj Slobode on serbian.,1,0,0,0,0,0
289853661117562880,US,2013-01-11,@ronald_to_swoll lmfaooo that's a girl store,1,0,0,0,0,0
289908229125857281,US,2013-01-12,My ears once again hurt so much,1,0,0,0,0,0
290245551948169217,GB,2013-01-12,Safe to say I teared up more than I do in the average year in one night at Les Mis #musicgotmegoing #noshame,1,0,0,0,0,0
290279697508610048,MY,2013-01-13,"Jinki, do you know that she has passed on?",1,0,0,0,0,0
290559042361896960,GB,2013-01-13,@Lord_Sugar Stabilisers !,1,0,0,0,0,0
290575014481235968,US,2013-01-13,Up 🏃,1,0,0,0,0,0
290633847740186626,US,2013-01-14,Damn your ex is a cry baby. He dont wanna talk to me.,1,0,0,0,0,0
290655544874778624,US,2013-01-14,@AndyMolitor4 she will be devastated!,1,0,0,0,0,0
290837775006171137,BR,2013-01-14,I'm at Forquilhinha http://t.co/VX8gjg4o,1,0,0,0,0,1
290841155606806528,GB,2013-01-14,"@LukeMalvern ahwwww Lukey, your profile picture is so adorable!",1,0,0,0,0,0
