date‎text
2004-08-21‎urlLink    You are a Fairy. Wait a minute, a fairy? Well you are not a mermaid at all. But you enjoy all things and love all. You blossom every morning and enjoy the simple pleasures of life. There are so many fairies, I can not count them all. Will you rate my quiz since you enjoy all?   Justin
2004-08-20‎"urlLink    ""What are you addicted to? (pics!)"" - Results: You're addicted to..... Nothing! Your addicted to nothing at all? Well..... ok I guess thats a good thing but come on just think of the possibilities!   Justin"
2004-08-11‎"urlLink    What swear word are you?"" - Results:   Justin"
2004-08-11‎"urlLink    What Color is Your Heart? "" - Results: P.S. i dont belive this one i have let ppl in just not often.  Justin"
2004-08-11‎"urlLink    ""?? Which Of The Greek Gods Are You ??"" - Results:   Justin"
2004-08-11‎"urlLink    ""Which Dysfunctional Care Bear Are You?"" - Results:   Justin"
2004-08-11‎hehehehe Just in case you are courious i like to take personality quizzes...all provided from Quizilla.com  Justin
2004-08-11‎urlLink    You have an entrancing kiss~ the kind that leaves your partner bedazzled and maybe even feeling he/she is dreaming. Quite effective; the kiss that never lessens and always blows your partner away like the first time.   Justin
2004-08-11‎"urlLink    ""?? Which Alcoholic Drink Are You ??"" - Results:   Justin"
2004-08-11‎""" What Violent Outburst Are You??"" - Results:	 Stab Happy! You could be crazey or you just have anger issues. Remember you can't always stab your problems away...well maybe sometimes.	    Justin"
2004-08-08‎""" >>>>>r u goth>>>>>>"" - Results: ur gothic ur like me a tortured artist no one to care about u no one for u to care about god doesnt care and neather does anyone else   Justin"
2004-08-08‎""" Spirit Test"" - Results:	 10 Out Of 10 ! Wow You Have A Great Loyal Brave ... Nearly Perfect Soul ! You Are Kind Hearted Sweat Gentle Hyper At Times And Get Some As.	   Justin"
2004-08-08‎urlLink    My Bloody Valentine- All The Time In The World  Your theme song is mellow and spirited, perfect for a long day of relaxing. You know how to slow down and enjoy life for what it is, without getting stuck on the past or worrying about the future - good for you! Sometimes people may see you as lazy, but they'll never get the same pleasures out of life as you do.   Justin
2004-08-08‎urlLink    You are a bronze dragon! You are the biggest of the males, and generally you are the only one who gets to mate with the queen. You are an excellent leader. Your human partner is likely to be a Wingleader or even Weyrleader, the person in charge of the entire Weyr, and you are the mate of the senior queen. You are respected by the lower colors, and if you are the Weyrleader's dragon you are always obeyed, unless the queen contradicts you. Since queens are relatively uncommon, you are widely considered by humans the best dragon to be paired with.    Justin
2004-08-08‎urlLink    PASSIONATE LOVER. You love to love, always looking for a relationship. You cannot live without it. Your lover must be passionate and you want that you and your partner melt into each other. He/She should not try to take the domination . You dont want a relationship without passion, and the sexuality plays a big part. The first moment you meet him/her is one of the most important. There has to be something between you , you cannot explain. From the first moment on everything must fix. But when this passion disappears you disappear to. For you it is better to leave than to see your love restrained. PLEASE VOTE, I want to know what you think about my quiz, I worked hard on it.You can always message me or tell me how I can improve that quiz. Ill sure write back.   Justin
2004-08-08‎urlLink    OOO i like it rough.  Justin
2004-08-08‎Yay i've figgured out how to post pics now all i need to do is keep my dad from spying on my computer.  that shouldent be to hard right?  well anyways i know that i can do it urlLink
2004-08-08‎urlLink    me in the dark.  mmmm, dark. urlLink
2004-08-08‎hey plz i hope this works.
