date‎text
2004-05-19‎Post all of your comments and thoughts about my work here...  But PLEASE read the text before you say something about it!  *LOLZ*
2004-05-19‎This is the beginnings a fantasy-science fiction novel that I am working on.  If things get a little strange, please bear with me because I'm still a budding writer. (I guess)  > The Dragoness: Volume I  > A Legend Reborn    > Written By Ryan Crowther  > May 18, 2004                                                 Prologue                                  The Remittance of the Dragon Race     It was long ago in the medieval world we now call Terra.  Nearly seven hundred years ago, a great war began to spawn between two races of a once rather peaceful coexistence.  The worldâ€™s Imperial Army was at rest for what seemed like another decade in the eternity of its history and life was, at the very least, good for everyone.  The human race had built magnificent kingdoms of marble and stone during the many years of solitude to glorify the lasting peace.  Many stories were told of encounters with dragons and their massive underground citadels, for which it was deemed that no man could ever find.  And this belief held true for every human in the world of Terra, for no one had set eyes upon the vast cavities underground, although many expeditions were led to seek them out.  All of these, however, were to no avail.  Many people created images in the minds of children depicting castles made entirely of a magical metal called mythril, that was nigh impervious to any other substance in the world, forges whose tempering blazes were hotter than volcanoes, and statues of epic proportions that occupied underground chambers that were greater in size and depth than the largest of lakes on the surface of Terra.  Some even suggested that these marvels were only the beginning, and that many of the dragons had established kingdoms in the clouds, as well.    And so it was that the humans looked upon the dragon race with an unyielding respect, such that even the wicked wouldnâ€™t dare to stare scornfully at the solemn face of the huge, winged beast.  And the dragons smiled with amusement at the activities of the human race, as they seemed to mill about in their own world, oblivious to what the high heavens may have in store for them in the near future.  The dragons had been very happy with their role as the guardians of Terra and they often looked to the stars to predict any upcoming events that may need preparation.  During the many decades that were such a short part of their life, the dragons had found little need to look to the stars, for the vast reaches of space were scintillating tranquilly without a shadow of a doubt.  In fact, many dragons grew curious about the lives of the humans and would pay short visits, often to see what it was like to sleep on the loamy, grass-covered soil in a forest, the rough but soothing grains of sandy beaches or the rugged and rocky terrain of the mountains and highlands.  The humansâ€™ encounters with dragons were hardly confrontational.  Although most dragons didnâ€™t appreciate being disturbed from their slumber, they were easily consoled if they were told a good story or given an interesting or perishable gift.  But what the humans failed to realize was that these friendly meetings would soon come to an abrupt end.    It still isnâ€™t certain today, but something in the stars caused a conflict to arise between the dragons and they turned on each other, being on opposing sides of the argument.  Soon, the humans were caught in the middle of their turmoil; earthquakes tore up the land beneath them, lightning filled the sky above them, lava flow from volcanoes scorched the earth around them and floods and hurricanes swept along the coastlines nearby.  Everyone began to panic and those that werenâ€™t already killed took what food was left and hid themselves away in the mountainside.  A few neutral dragons searched the torrent of destruction on the surface of Terra hoping to take some humans to a safer place, but no one believed their intentions and now that Terra was slowly being destroyed, there wasnâ€™t any safe place to witness the looming apocalypse.    Through the course of six fierce months, the surface of Terra was devastated and the populations decimated, but even the dragons had succumbed to such horrible environments and the raw power of their own elemental attacks.  Soon, the quivering of the earth ceased with the fighting and the humans, stricken by starvation and a brutal thirst, emerged to see that their once beautiful planet was on the verge of extinction itself or so it seemed.  With the few dragons that remained in a desolate silence, the human race was able to rise up once again from the ashes of its home world and as the kingdoms began to be restored, so did the land and sea.  The earth ceased to tremble and the fissures created new mountains, the sky, once filled with black and the blue-white flashes of lightning in the reflection of the pouring rain, was restored with the subtle docility of the soft, low-hanging clouds, the forests, marred by the burns of pyroclasmic flows, gave birth to new plant life from the rich deposits of soil, and the oceansâ€™ once tempestuous and violent natures were restored with gently rippling waves and friendly winds for sailors.  And so some say that the world of Terra had begun anew, brimming with life and viridian color just as it once did before what was called The Great Renewal.    The humans knew that the dragons were the cause of such an onslaught, and so it was that through the next six months, several crusades were led to put an end to the dragon race, the so-called guardians of Terra.  Villagers still encountered the dragons near their very dwellings at times and the confrontations were catastrophic.  If a man were to come face to face with a dragon, he would neither fight nor run, but wait for the inevitable; an almost certain death.  Many lives were taken only by chance encounters such as these and the few survivors died shortly afterward.  The peopleâ€™s vengeance drove the soldiers of the quickly regrouping Terran Imperial Army to seek out and smite all of the dragons but one, whom no man in his right mind would confront, let alone attempt to kill.  Auron, the legendary King of the Dragons, was his name, which no dragon would speak in vain.  A name that was holier and revered more than that of the Christian God.  Perhaps this was because of the fact that he was a known entity or maybe it was that the dragons had a stronger system of monarchy than any human could even imagine.  Whatever the reason, Auron, the great King of the Dragons, was said to be untouchable and invincible beyond that, and yet the Terran soldiers marched on for three months to find his underground kingdom, only to face him at the most desolate place on Terra.  It was the only place that still bore the scars from the carnage of the recreation.    The battlegrounds were nothing but a barren wasteland shrouded by a nigh impenetrable mist.  As the soldiers marched purposefully onward, they were cognizant of a subtle presence nearby.  Only then did Auron launch his surprise attack, and even the most wary soldiers had only seen a large shadow before their life was taken.  They did not see the razor-sharp claws and teeth like guillotines that shredded their very existence.  The only one who was spared was Commander Sylvia Reynard, who had cleverly disguised her identity and ascended to the top of the Terran Imperial Army by only a matter of deception and great courage.  She watched as the shadow stood still in the distance, focusing intently as though she would be slain in an instant if she were to look upon the myriad of dead soldiers strewn about the ground all around her.  And the fog lifted slightly and the sun hung straight above their heads at high noon.  The playing field was set and the match between the two clan leaders would soon begin.    Neither the blue nor the silver pair of eyes broke contact; both woman and beast shared an equal fury, an equal pain, and an equal determination.  Commander Reynard had already sustained a near loss of her life; her left arm had been torn from its socket several years ago by a dragon.  The wounds were cauterized and the limb was sewed back on by hand and she ignored all of the pain that she still felt from it as her eyes remained fixed on the twenty-foot beast with head bowed down in anger and claws poised to strike at any moment.  And Auron, now living with the pain of his clanâ€™s near extinction, knows that this is a battle not to be won for his clan, but now only for himself.  There is no hope for him now, and he realizes that he fights only to live out the rest of his years in solitude as the last of his kind, never to come into existence again.  And so the fierce battle began with the clashing of sword on claw and after many bouts of parrying swift blows, it was clear that Auron had a huge advantage.  His size and speed could only contribute further to his already astonishing power, but Commander Reynardâ€™s strength was unfathomable, especially for a woman clad in such heavy armor and it was for this reason that she had been able to fend off his attacks.    Auronâ€™s mind began to wander and his concentration slackened slightly; he was planning to escape and leave Reynard to die in the arid heat of the sun, left completely exhausted.  And this was true, for the Commander was having strong second thoughts about this match-up and the cruel environment that would most inevitably claim her life first.  Auron glanced around and saw a faint rippling in the distance, just above the ground, but it wasnâ€™t the reflection of the now very thin layer of mist that hung about them.  He had slowed down his attack frequency and this gave Commander Reynard the opportunity to launch a fierce attack on him for the first time.  The blade of the great sword came down mightily upon the claws of the startled King of the Dragons and his guard nearly collapsed under such a blow.  As he regained his composure, he was able to force Reynardâ€™s sword away from him and both combatants faltered backward momentarily.  The moment turned into many seconds where the two leaders stared at each other, slowly becoming complacent.  At last, Commander Reynard buried the blade of her broadsword in the nutrient-starved soil and seeing this, the King of the Dragons folded his wings and lowered his claws.  He glanced to the side only for a second and Reynard eyed him warily as he looked at her sideways.  Then, without a trace of movement to betray his intentions, Auron flew straight into the distance and vanished before the Commanderâ€™s very eyes.  And she only smiled at his tenacity, for little did he know that shortly after the long and arduous solo journey back home, Commander Sylvia Reynard would set down her military equipment for eternityâ€¦
2004-05-19‎**THIS CHAPTER WILL BE UPDATED WITH THE REWRITTEN VERSION IN A FEW DAYS**   > Chapter 1  > The Call of Destiny     Sunday   March 21st, 2013   9:02 PM   Dear Diary, 	Itâ€™s the last day of spring vacation.  You should know by now that tomorrow is my 18th birthday.  I just hope nobody will make a big deal of it at school tomorrow.  Youâ€™re probably wondering why Iâ€™m telling you this.  Well, I have a feeling that something truly special is going to happen tomorrow.  I know, I must sound crazy, just like the other times that Iâ€™ve felt like this and it never happened, but somethingâ€™s different this time.  I canâ€™t describe it, and it just makes my head hurt to find out how, but I hope it will be for the better. 	I think Iâ€™ve worried about the future long enough.  As they say, you canâ€™t live life with your head in the clouds, so Iâ€™ll just take things one step at a time, just like I always do.  I guess I can always count on the present to be there for me, so I wonâ€™t let anything stop me from having a good day tomorrow.  Good night!      Jan      It was Monday as Janet Wilson read over her latest diary entry once again.  She tossed her long brown ponytail over her shoulder as she lay on her queen-size bed, holding the blue-bound, custom gold-lettered book open in her hands.  She couldnâ€™t help reading the lines, written in a metallic blue ink, over and over, despite the fact that she had told her diary that she wouldnâ€™t morose over the issue.  She tried to think of other things, but always found herself coming back to the diary, in which she only wrote the most important events of her life.  Her bright, blue eyes were still transfixed on the page and she wasnâ€™t sure why she couldnâ€™t stop thinking about it; something was just nipping at the back of her mind and she had know to find out what it was, but how?    Then she remembered her calculus homework, which she had better get started on soon, because it was already 6 oâ€™clock.  As she got up to dig into her blue, vinyl-lined backpack, something new caught her attention in the mirror for a split-second, and she stopped for a while.  She looked into the mirror at various angles, trying to reenact the way she had passed it before, but it didnâ€™t happen again.  Then she noticed that the change was actually in her self-perception.  Behind the few freckles that dotted her face beside her nose and her piercing blue eyes, there was a new sort of elegance that she couldnâ€™t quite describe.  She removed her navy blue hair tie, letting her hair fall down about to her waist and her mouth opened slightly.    Perhaps this elegance was simply the feeling one gets when theyâ€™ve known someone forever and yet, something new, exciting and beyond your conceivable interest is there.  Then Janet realized something else, although not nearly for the first time; everything was blue.  Her cute little blouse, her slightly-faded denim jeans, her socks, the shoes sheâ€™d picked out at Kohlâ€™s, the bedspread, the pillows, the diary, the pen, her bag; the list could go on for an eternity.  Even the walls were painted a light shade of blue, before the family had even moved into house.  Maybe it was some matter of destiny.  Destiny is such a powerful word in itself, the word that determines the very purpose of an individualâ€™s existence.  A word so powerful that even fate must bend to its constant will, for fate may change the path, but it can never change the destination.  Hence, the reason for the form of the word, destiny, and that was it.    That was the powerful, gripping emotion that quelled inside of Janet Wilson on her not-usually-so-fantastic eighteenth birthday.  Today was not just another birthday with cake, candles, jokes and a few presents.  Today a critical event would come that would guide her toward her true destiny unknown.  As the thought had left her head, it was replaced with the cruelest image of irony she had probably seen in her life; a scene where she and her family went out to dinner late and as they sat down at a table, the man of her dreams walked by.  How she gazed at him with the utmost passion, until he pulled out a gun and told her to stop staring at him and when the gun fired, a sound like a large bubble bursting reverberated inside of her head and she was tossed back into reality.    â€˜No.  That wasnâ€™t even close.  Besides, the guy killed me anyway,â€™ Janet thought to herself resolutely, but still a bit heart-stricken nevertheless.  She forced herself to smile and laugh at the whole incident as she pulled out her rather ponderous mathematics text and heaved it onto the blue bedspread that depicted rolling ocean waves.  She took her pencil in her left hand and set it to the paper, when her eyes fell on the complex formulas that covered the opposite page of her book, and she remembered just how much math made her sick from time to time.  It was definitely not that she didnâ€™t understand it, although calculus in itself was difficult to grasp.  In fact, Janet usually did very well with her math courses; they just made her crazy if she wasnâ€™t in the right mood, and her mind was still on whatever was supposed to happen today.    By the time she had finished the first problem, which spanned over nearly a fourth of the page, it became too stressful for her at the present time.  Whenever Janet became stressed, a nice cool shower was the best solution, well for her anyway.  It could help her focus or just let her take a load off and not worry about so many things, and in this situation it was probably the answer to both of those problems.  And so she picked out another easily matching blue outfit and took it across the silent hall and into the bathroom.  Her parents wouldnâ€™t be home until about eight.  They worked a late ten-hour dayshift or an early swingshift, however you might put it, from 9 to 7:30.  Janet thought it was interesting that they both worked at the same complex, but almost never saw each other all day.  Actually, it sounded kind of sad, now that she thought about it, and she only got to see them later at night and early in the morning before she walked to school.  She really missed them sometimesâ€¦    Janet glanced in the mirror rather timidly as she pulled her pale blue top over her head.  She instinctively blushed, self-consciously, as most anyone would trying to look their best for themselves.  She was about five-nine with a small frame, a lean and slender build and quite a fair complexion.  She was sometimes late to her classes in the few recent years, and since then sheâ€™d made a habit of wearing a watch on her right wrist.  She pulled a couple clean towels from the cupboard there and stepped into the shower.  She hadnâ€™t noticed that she had forgotten to remove her watch before getting in the shower until the alarm she had set went off, reminding her of the exact time of her birth; 6:22.  It was just one of those things that one almost does without thinking, setting a watch for such a precise time to commemorate a special event.  She just smiled and turned it off, but as she bent over to place it by the shower door where it wouldnâ€™t get wet, she froze.  As the beads of cool water softly rained upon her face, something very strange began to happen to her.  >                                  A blaze of potential the ocean doth hold, A powerful motive when tamed and controlled. Still lies in a darkness so bleak and so cold, But soon shall its purpose begin to unfold.
