date‎text
2004-07-18‎"urlLink    Hey kids! I'm back again to talk about skillet. This is just another great band that I like a lot. They are awesome, and not only in ""heavy"" songs like ""Savior"", but also in songs like ""Jesus, name above all names"". Just Check it out....    This picture was taken by someone with a camera..."
2004-07-17‎Boys and Girls; tonight I learn something very important: Howis dangerous to work with your web...thing's template. Thank God thatIdidn't madeany stupid thing, and now you can enjoy at your left, 3 beautiful GIFs that almost cost this web...thing. So when working on your template it is better to have a notebook on your desktop tray!
2004-07-14‎"urlLink    Alright Folks! I am back after my dinner, (pizza of course) to talk about one of my favorites bands: Relient K!!!! These 4 boys from Ohio just know how to play a perfect punk rawk! Check them out in their last cd, two lefts don't make a right...but three do, and of course songs like: ""Marilyn Manson Ate my Girlfriend"" and ""Chapstick, Chapped Lips, and things like Chemestry"". By the way, this is a desktop background, you can get it by pressing the buttons in your mouse and all that other stuff...     This picture was taken by someone with a camera..."
2004-07-14‎urlLink    Now the last but not least of the day, in Spain, while running for those crazy bulls!  This picture was taken by someone with a camera...
2004-07-14‎urlLink    Now, The last picture I took in the Jungle... Very dangerous place!   This picture was taken by someone with a camera...
2004-07-14‎"urlLink    now with you guys the section ""The Last Picture I Took"". First, while I was in France eating some croasaints and talking to Thiery Henry    This picture was taken by someone with a camera..."
2004-07-14‎urlLink    And here the problems a mole can make!!  This picture was taken by someone with a camera...
2004-07-14‎urlLink    Beckham on the Portuguese Beach...  This picture was taken by someone with a camera...
2004-07-14‎urlLink    Here I will show you guys some pics related to the game England x Potugal on Euro 2004... I know that it is over but I had the pics and no web...somthing so....  This picture was taken by someone with a camera...
2004-07-14‎urlLink    If you are seeing a picture of a T-shirt here it means that I made it!!! Now I can post pictures in my web...thing! But if you're not seeing a T-shirt, I think it is the time for you to buy a new computer...  By someone with a camera...
2004-07-14‎And there we go... A new story starts right here. Just another web...thing is created, but there is something different about it! Yeah, it is my web...thing! And you are a viewer of this event of enormous proportions!  Well... I hope ya all enjoy it when it comes to be finished!  Now I have to see where I can put pics here!  God Bless ya all!  *cool, this things has a spell checker!
